227,另一部“綠巨人傳”,動畫原創
228,性格反差藥,第6卷第16話
229,我出生的那一天,第2卷第5話
230,試著說再見,第31卷第17話
231,22世紀的大決戰！哆啦A夢VS德古拉（上集）,動畫原創
232,22世紀的大決戰！哆啦A夢VS德古拉（下集）,動畫原創
233,戲劇性瓦斯,第36卷第5話
234,大雄真了不起！再來一次,第23卷第1話
235,送給靜香的禮物是大雄,動畫原創
236,未來的真人遊戲,第27卷第13話
237,迷糊偵探大雄,第32卷第17話
238,在父親節建地鐵,第2卷第13話
239,戀愛中的胖虎（上集）,第44卷第5話
240,戀愛中的胖虎（下集）,第44卷第5話
241,搭潛水艇去海裡玩,第6卷第13話
242,沉睡的海底王國,動畫原創
243,七夕的宇宙戰爭,P5卷第6話
244,比我更沒用的傢伙來了,第23卷第11話
245,保鏢是背後的幽靈,第37卷第4話
246,倍倍液,第17卷第1話
247,再見阿花,第30卷第7話
248,然而幽靈出現了！,第37卷第18話
249,計畫生日,第45卷第8話
250,人生重來機,第15卷第11話
251,石器時代的旅館,第38卷第17話
252,打倒胖虎隊,第7卷第3話
253,重畫世界吧,動畫原創
254,哆啦A夢的假日,第35卷第13話
255,哆啦A夢的青之淚,動畫原創
256,冒險茶,第36卷第11話
257,舌相占卜神准！,第12卷第2話
258,大雄在無人島的3000日,第14卷第10話
259,沒用的大雄機器人,第29卷第3話
260,大雄的邂逅列表,第18卷第16話
261,海底遠足記,第4卷第5話
262,大雄他們的花樣滑冰表演,動畫原創
263,戀愛的傳言停不下來,第40卷第8話
264,時間啊動起來吧！！,第24卷第7話
265,於是，我們踏上了旅程,動畫原創
266,小夫的無敵炮臺,第38卷第19話
267,坐墊也有靈魂,第39卷第15話
268,作一個弟弟,第10卷第15話
269,在邪惡的道路上前進！,第14卷第15話
270,哆啦美最糟糕的一天,動畫原創
271,世界第一的鳳梨包,動畫原創
272,大暴走，巨大的手工機器人,第23卷第16話
273,斜坡手杖,第37卷第8話
274,大雄的0分突圍戰,第37卷第16話
275,搬到幽靈城去,第12卷第20話
276,野比家沒有重力,第32卷第8話
277,距離老鼠消失還有4個小時,第7卷第9話
278,野比左衛門的寶藏,第4卷第13話
279,大雄的夢物語,第38卷第4話
280,一半的一半又一半,第42卷第12話
281,那一天，那一刻，那個不倒翁,第18卷第14話
2008年劇場版,大雄與綠巨人傳,大長篇第25篇 第33卷第17話
282,大雄與靜香的愛之小屋,第35卷第9話
283,召喚勝利的啦啦隊手套,第23卷第7話
284,山奧村的怪事件,第7卷第19話
285,幻想動物主題公園,第26卷第4話
286,銀河鐵道之夜,第20卷第8話
287,未來世界的怪人,第4卷第14話
288,再見了哆啦A夢,第6卷第18話 第7卷第1話
289,大雄和吐星鯨魚,動畫原創
,哆啦A夢的重生之日（特別版）,動畫原創
290,歡迎來到地球的中心（上集）,第23卷第12話
291,歡迎來的地球的中心（下集）,第23卷第12話
292,靜香消失了！？,動畫原創
293,大雄的求婚大作戰,第1卷第12話
294,哆啦A夢要減肥！？,動畫原創
295,大雄家的生計危機,P2卷第17話
296,正義的夥伴 SELF假面,第12卷第8話
297,蹭飯的胖虎,動畫原創
298,交朋友髮髻,動畫原創
299,雨男好苦啊,第34卷第9話
300,愛上大雄的美少女,動畫原創
301,相反星球,第17卷第8話
